Etikett:;Liedtitel:;Komponist:;Nummer:;letzte Auff�hrung:;;
Weltliche Chorliteratur;Abendchor;K. Kreuzer;Rosa 01;;;
Weltliche Chorliteratur;Abendruhe / Wie herrlich sind...;W.A. Mozart;Rosa 02;;;
Weltliche Chorliteratur;Abschied hat der Tag genommen;;Rosa 03;;;
Weltliche Chorliteratur;Adelita  du Sch�nste der Sierra (2010);;Rosa 04;;;
Weihnachtliche Chorliteratur ;Advent und Weihnachtskanon;;Blau 81;;;
Weihnachtliche Chorliteratur ;Als aller Hoffnung Ende war...;Karl-Heinz Steinfeld;Blau 02;;;
Weihnachtliche Chorliteratur ;Als die Welt verloren...;M.B�hler;Blau 03;;;
Weltliche Chorliteratur;Als Freunde gehen wir;G. Onnen;Rosa 05;;;
Weltliche Chorliteratur;Amor im Nachen;;Rosa 6;;;Elgar
Weltliche Chorliteratur;Apollo Chormusik (Ein Abend mit....);Paul Linke;Rosa 07;;;
Weihnachtliche Chorliteratur ;Auf Bethlehems Feldern... 2015;Klaus Heizmann;Blau 01;;;
Weihnachtliche Chorliteratur ;Auf ihr Leute, h�ret heute�2022;;Blau 85;Dezember 22;;
Weltliche Chorliteratur;Aux Champs-Elys�ees;Pierre Delanoe;Rosa 08;Juli 24;;
Weltliche Chorliteratur;Ave Gl�cklein...;;Rosa 09;Dezember 18;;
Geistliche Chorliteratur;Ave Maria;Rodolfe Roger;Gelb 35;;;
Geistliche Chorliteratur;Ave verum corpus;Edgar Elgar;Gelb 36;Dezember 21;;
Geistliche Chorliteratur;Ave, Ave verum;;Gelb 01;;;
Weltliche Chorliteratur;Bajazzo  Warum bist du gekommen........;Bernhard Riffel;Rosa 10;;;
Weltliche Chorliteratur;Bel ami (Du hast Gl�ck bei den Frau�n);;Rosa 11;;;
Weihnachtliche Chorliteratur ;Bereitet dem Herrn den Weg;Komm.  Gnadenthal;Blau 04;;;
Weltliche Chorliteratur;Butterfly;Daniel Gerard;Rosa 106;;;
Weltliche Chorliteratur;Can�t help falling in love;George Weiss;Rosa 139;;;
Weltliche Chorliteratur;Cantate Domino;Johann Gr�ger;Rosa 12;Dezember 21;;
Weltliche Chorliteratur;Caprifischer;Gerhard Winkler;Rosa 107;;;
